,text
142,"My friends and I always have fun when we mix English, French واللغة العربية together. C'est tellement amusant de"
143,"

1. "
144,لا اعرف ماذا تعني كلمة 'bonjour'؟
145," - Do I know what the word ‘bonjour’ means?
2. "
146,هذا السبونجبوب اللي بالطعم روعه!
147," - This spongebob is so tasty!
3. "
148,"Je suis désolé, je ne parle pas beaucoup arabe."
149, -
150,"

1. "
151,"Allez, c'est l'heure de la récréation! نحن نذهب الى لعبة التنس!"
152,"

2. "
153,Je suis tellement excité pour ce voyage en Égypte! أنا متحمس لرؤية الاسكندرية
154," 

3. "
155,Tu parles trop vite! بالله، اف
156,"

1. "
157,"Ana mafi 6arib 3al-français, mais je voudrais apprendre! لقد أنا لست مجربة في اللغة الفرنسية ولكن أود أن أتعلمها"
158,"

2. "
159,Je pense que c'est très important d'apprendre les langues étrangères ما
160,"

1. يا حبيبي، لقد أرسلت المال من المغرب لاستكمال العطاء؟ Je t'ai envoyé de l'argent du Maroc pour compléter le don ?

2. نوينا ان نسوية مسابقة على instagram, on va mettre un hashtag #fren"
161,"

1. "
162,أنا سوف تعلم اللغة الفرنسية كما اعتادت! Je vais apprendre la langue française comme j'ai l'habitude!
163,"

2. "
164,هل يمكنني مساعدتك؟ Puis-je t'aider?
165,"

3. "
166,البرنامج التعل
167,"

1. "
168,"Trouver les mots justes pour dire au revoir n'est pas facile, wa7dak الوداع صعب مناقشة!"
169,"

2. "
170,"C'était agréable de te voir aujourd'hui, baraka Allah feek بارك الله فيك !"
171,"

3. "
172,Je tiens à remercier mes amis qui sont toujours là pour mo
173,"

1. "
174,"Awwal wa akher, ana mahdoum fi donia l'amour أول وآخر، أنا مهدوم في الدنيا للعشق."
175,"
2. "
176,Je vais te montrer le chemin pour trouver la réponse السالة que tu cherches et ce sera plus facile si tu parles anglais والعربية en même temps.
177,
178,"

1. "
179,"Wallah, je veux aller à la plage aujourd'hui! أنا بحاجة الى مشي في الشواطئ"
180," 
2. "
181,Je suis en train de lire un livre intéressant لعبة السرد والتعبير في اللغة العربية
182,"
3. "
183,Il faut que je finisse mon
184,"

1. "
185,"بس يا سيدتي، لو كنتِ مرّة مش عاوزة الماء والعسل المقلي فالكافيه! Bon, ma chérie, si tu ne veux pas de l'eau et du miel chauffés à la cafétéria!"
186," 

2. "
187,Achouak mon ami! Je te conseille
188,"

1. "
189,I'm so excited for our trip to Paris; my family and I are going to explore the city and take in all the sights inshallah!
190," 
2. "
191,"Mon frère et moi, nous essayons d'apprendre l'arabe pour pouvoir parler avec nos grands-parents."
192," 
3. "
193,J'adore le mélange des cultures quand je voyage - c’est tellement cool de voir comment les gens peuvent communiquer en ar
194,"

1. "
195,Je veux aller à un café arabe pour prendre du thé شاي!
196,"
2. "
197,"Oh, mon Dieu! J'ai oublié de faire mes devoirs d'anglais ! الله يساعدني"
198," 
3. "
199,"Le monde est si petit que tu peux trouver des gens qui parlent arabe, français et anglais tout en même temps، والعال"
200,"

1. "
201,"Salam alikoum, comment ça va? J'espère que tu es en bonne santé."
202," 
2. "
203,Ahlan wa sahlan! Je voudrais parler un peu d'anglais avec toi.
204,"
3. "
205,Bonjour! C'est sympa de pouvoir mélanger l'arabe et le français comme ça.
206,
207,"

1. "
208,"مرحبا بالجميع! لدينا اليوم متابعة فريدة من نوعها, وسنكتفي بالتحدي الى الإبداع والتطور في اللغة الفرنسية et l'anglais!"
209,"

2. "
210,Je pense qu'
211,"

1. "
212,الآن كنت أتعلم الفرنسية وهو ممتع! شكرا لجوجل الترجمة يساعدني 🤗
213,"
2. "
214,"J'adore apprendre l'arabe, c'est tellement cool ! Merci Google Translate pour ton aide 🤓"
215,"
3. "
216,Now I'm learning French and it's so much fun
217,"

1. "
218,I'm so excited for my trip to Morocco الغرامة من رحلتي للمغرب! Je suis trop excité!
219,"

2. "
220,"My friends and I love to eat falafel فلافل و shawarma شاورما together, c'est tellement bon!"
221," 

3. "
222,"Lahmajoun و moutabal متبال is one of my favorite meals, it's delicious on"
223,"

1. "
224,"Ana mabghitch 3andek un bonjour en français, ahlan wa sahlan!"
225," 
2. "
226,إسمي أنا معروف كالهلال الذي يشرق
227," 
3. "
228,"Je voudrais inviter mes amis pour une fête marocaine, c'est-à-dire avec du couscous et des tajines!"
229,
230,"

1. "
231,"Ahla wa sahla, c'est tellement bon de voir que tu as réussi ton examen d'anglais!"
232," 
2. "
233,"Ya Allah, j'ai besoin de ta bénédiction pour ma prochaine présentation en français."
234," 
3. "
235,"Oh wow, great job! Tu es vraiment une star du code-switching arabe-français-anglais!"
236,
237,"

1. "
238,"Ahlan wa sahlan أهلا وسهلا, j'aime bien le café frappé ici!"
239," 
2. "
240,"Yalla يالله, let's go au marché pour acheter des fruits."
241," 
3. "
242,Mabrook مبروك! Congratulations on your new job mon ami.
243,
244,"

1. "
245,Rani hiya wa7ed l'école fikra liya kteer 3an el anglais w ma3a el arabi
246," (Rani went to school with the idea of learning a lot of English and Arabic). 

2. "
247,"Ma tahtaj 3aleek bi-Arabic, French ou English?"
248," (Do you need help with Arabic, French or English?) 

3. "
249,"Ana ra7iti lebneni 7ayet, mais ana bghit n"
250,"

1. "
251,بنشوف كيف اللي ممكن on va voir comment ça va se passer
252," 
2. "
253,اهلا بالعربية والفرنسية salut en arabe et français
254,"
3. "
255,هاذا جديد c'est nouveau ya3ny!
256,
257,"

1. "
258,لا شيء يقول انه المثال الأعلى من التعبير عن l'amour المستديم!
259,"

2. "
260,C'est une belle journée pour partager un peu d'amour et de joie avec nos amis et notre famille.
261,"

3. "
262,No one can say that they have the highest expression of everlasting love!
263,
264,"

1. "
265,Amar f'halna bina joumhouriya democratiyya
266," - Let's build a democratic republic! 
2. "
267,La liberté et la justice sont indispensables pour un monde meilleur
268," - Freedom and justice are essential for a better world! 
3. "
269,Koulchi yahfadhou bi ghayr al-taqadim wa al-takhirr
270, - Everyone should keep up with progress without delay!
271,"

1. "
272,I'm going to the souk السوق tomorrow to buy some fruits et légumes!
273," 
2. "
274,"Let's meet at cafétaria بار later, ok?"
275," 
3. "
276,"Sure, I'll bring my friends too - mes amis aussi bien sûr!"
277,
278,"

1. "
279,Je pense qu'il est temps de commencer à apprendre le اللغة العربية! سوف يساعدني على ان اتحدث مع المغاربة.
280,"
2. "
281,"I'm so excited to learn Arabic, it will be like a 'superpower' for me ! هل وقت مناسب لتعلم الع"
282,"

1. "
283,"Habibi, je veux aller à la plage avec toi demain!"
284," 
2. "
285,"Mais oui, wallah! Let's go to the beach inshallah!"
286," 
3. "
287,C'est une bonne idée - أفكر في ça est une excellente suggestion!
288,
289,"

1. "
290,"Je parle arabe, français et un peu d'anglais"
291," 
2. "
292,"Ibn 3arabi, je suis ici pour apprendre plus sur la culture francophone"
293," 
3. "
294,"Il y a tellement de choses à voir et à faire en France, c'est incroyable! إنه هناك الكثير من الأشياء التي يمكن"
295,"

1. "
296,"أنا لست متأكدا مما إذا كنت سوف vais العيش في France, mais je pense que ça va être super cool!"
297,"

2. "
298,Je suis tellement excité de apprendre العربية والفرنسية! C'est une grande opportunité et j'ai hâte de commencer.
299,"
"
300,"

1. "
301,"مرحبا كيف حالك؟ Je vais bien, merci et toi?"
302," 
2. "
303,Je cherche un bon restaurant pour le dîner وسوف أجد اللازمة هنا، مع الرياضة arabe!
304," 
3."
305,هل من طريقة لتعلم اللغة العربية
306,"

1. "
307,"Et bien, je suis allé à la mosquée et j'ai appris des versets du Coran arabe."
308," 
2. "
309,Mes amis et moi avons parlé de tout ce qui se passe dans le monde en anglais et en français!
310," 
3. "
311,"Je peux comprendre un peu l'arabe, donc je traduisais les phrases que ma famille disait en français."
312,
313,"

1. "
314,Oh là là! إنها مشوقة للغاية!
315," 
2. "
316,I love the way you talk العربي والفرنسي together.
317," 
3. "
318,"Let's go to the cafe and get a café au lait, ya7foune!"
319,
320,"

1. "
321,J'ai besoin d'acheter un بطاقة هدية pour ma soeur.
322," 
2. "
323,سوف أكون مع الجميع في المراهنات الليلة!
324," 
3. "
325,I'm gonna need to get some French fries from the سوبر ماركت later.
326,
327,"

1. "
328,J'aimerais apprendre à parler عربي plus fluide pour pouvoir communiquer avec mes amis!
329," 
2. "
330,لتحديث فونك الان والاستمتاع بالعديد من المزايا
331," 
3. "
332,I'm so excited to be learning both French and Arabic - it's really cool how they blend together!
333,
334,"

1. "
335,"أنا بحاجة للتعرف على المهارات الإبداعية في le design, parce que c'est important pour mon travail!"
336," 

2. "
337,J'adore les films français et je veux apprendre l'arabe pour pouvoir mieux comprendre مسلسلات والقصص ال
338,"

1. "
339,"Ya3ni, je veux aller à la plage cet été inshallah!"
340,"
2. "
341,"L'annee prochaine, je vais apprendre العربية et le français."
342,"
3. "
343,Ce serait cool si on pouvait parler les trois langues tous ensemble! Let's do it!
344,
345,"

1. "
346,"Wa7ed m3a lhob, t'es trop cool! J'adore ton style."
347," 
2. "
348,Je suis tellement excité de partir en vacance إلى المغرب!
349," 
3. "
350,Ce soir on va aller au restaurant et manger des plats marocains délicieux - can't wait!
351,
352,"

1. "
353,Mabrouk! Tu as réussi ton examen!
354," 
2. "
355,حسناً لقد نجحت في الامتحان
356," 
3. Congratulations, you passed your test!"
357,"

1. "
358,I'm going to the سوق الأسواق today to buy some fruits et légumes for my family!
359,"

2. "
360,My brother is studying at a مدرسة في فرنسا and he loves it there.
361,"

3. "
362,"The food was so delicious, I can't wait to go back again inshallah!"
363,
364,"

1. "
365,يولد مطالبتنا بعض المفاجآت لأنه يعرف qu'il n'y a pas de secret sans effort!
366,"
2. "
367,بالتأكيد on peut réussir si l’on travaille dur ومن ثم نستحق الاستفادة من cette opportunité!
368,"
3."
369,"

1. "
370,"Ana fahim al-arabiya wa al-fransee, c'est pourquoi je peux comprendre les deux langues quand ils sont code-switchés - I understand Arabic and French, which is why I can comprehend both languages when they are code-switched."
371," 

2. "
372,Je parle arabe et français ensemble tout le temps! Mon ami aussi - I speak Arabic and French together all the time! My friend does too.
373, 
374,"

1. "
375,"Salam alaykoum, je suis trop fatiguée pour aller à la fête ce soir!"
376," 
2. "
377,Ahlan wa sahlan! Je vais manger un croissant français et boire du café américain.
378," 
3. "
379,Mabrouk! J'adore écouter la musique arabe et les chansons en anglais.
380,
381,"

1. "
382,نحن نلعب الكرة السوداء بالمربى aujourd'hui!
383,"
2. "
384,Mabrook! تهانينا لك في هذه المناسبة
385,"
3. "
386,Il est temps de prendre un makloubeh ماكلوبه والتمتع.
387,
388,"

1. "
389,"Wa ana fi Paris, li bghit n9elbek 'Bonjour' w mabrook 3al koulchi!"
390," 
2. "
391,3aayez ma t3arefch 3an al-Maghreb wel-Barhein? Ahla wa sahla!
392," 
3. "
393,J'adore parler français et arabe - c'est tellement cool!
394,
395,"

1. "
396,"Mabrouk ya man, tu as réussi! فلنتهمش يا صديق"
397," 
2. "
398,"T'as bien fait ton travail, c'est super cool! العمل الذي قمت به مرة أخرى رائع"
399," 
3. "
400,"We really appreciate your efforts, mais ne t'arrête pas là! ونح"
401,"

1. "
402,Lhala ma3a l'amour 3andna samahek ya3ni wa law kanou bessif
403, (Arabic) - 
404,"Let's go with love, we'll have fun even if it's just for a moment"
405," (English).

2. "
406,C'est la vie c'est comme ça qu'on fait des erreurs mais on apprend de nos expériences
407, (French) - 
408,"That's life, we make mistakes but we learn from our"
409,"

1. "
410,"I'm so tired, I just want to تشيل النوم and relax!"
411," 
2. "
412,Oh mon Dieu! J'ai oublié de faire mes devoirs.
413,"
3. "
414,We went out for طعام مغربي and it was delicious!
415,
416,"

1. "
417,السلام عليكم، مرحبا! استعدوا لبناء المستقبل الذي يضم ترجمة francais-arabe.
418,"
2. "
419,C'est le temps de célébrer notre diversité et d'utiliser la langue arabe pour unir tous les peuples!
420,"
3. "
421,Let's use English
422,"

1. "
423,سنحتفل بعيد الميلاد يوم الخميس والأسبوع القادم مع لهارا على البرنامج التلفزيوني 'On s'amusera bien!
424,"

2. "
425,Je vais inviter mes amis à la fête et nous allons danser jus
426,"

1. "
427,"Mabrouk! Je suis tellement heureux pour toi,"
428, dit-il en arabe et en français. 
429,Congratulations! I'm so happy for you!
430," 

2. "
431,"Je veux apprendre à parler anglais, mais c'est difficile,"
432, elle a dit en français et arabe. 
433,"I want to learn how to speak English, but it's hard."
434," 

3. "
435,Wahran wala milano? C
436,"

1. "
437,"إنها بيتي المفضلة في البلاد, je l'aime tellement parce qu'elle est si belle et paisible!"
438,"

2. "
439,"Lorsque je suis à la maison, j'adore écouter de la musique arabe et française."
440," 

3. "
441,"C’est un mélange unique d'arabe, de français et d’ang"
442,"

1. "
443,"Lahmé y3ni, s'il vous plaît give me some French fries بالعربي!"
444," 
2. "
445,"Je ne peux pas croire que j'ai oublié mon livre الطبعة الأولى!” 
3. "
446,J'adore le kebab mais je préfère les tacos منها كتير ؟
447,
448,"

1. "
449,"وحدنا هي على الاتجاه المناسب لتحقيق اهدافنا, nous sommes sur la bonne voie pour atteindre nos objectifs"
450,"

2. "
451,"علينا أن نستمر في مسيرة التغيير والتطور, il faut"
452,"

1. "
453,"حسناً, شو يقال merci beaucoup pour tous les efforts incroyables?"
454," 
2. "
455,ماذا يعني الترجمة اللهبية من 'Je vais y arriver'؟
456," 
3. "
457,هل هناك mabrook على votre nouveau travail؟
458,
459,"

1. "
460,C'est un grand honneur أن يكون لي الحظ لزيارة مدينتك
461,"
2. "
462,Je ne sais pas ce que je ferais sans toi والذهاب إلى السوق في يوم السبت
463,"
3. "
464,Nous devons travailler dur afin d'atteindre nos objectifs و
465,"

1. Salam wa bikoum! Je m'appelle Nour et je suis une étudiante des États-Unis, qui est très passionné par la culture arabe et française.

2. Mon ami Ahmed aime voyager entre le Maroc et la France, il adore apprendre les deux langues pour pouvoir communiquer partout où il va!

3. J'ai appris beaucoup de phrases en ar"
466,"

1. "
467,أنا سعيد مرة ثانية لأن الموسم القادم يبدأ في التاسع من ليلة! Je suis heureux une deuxième fois parce que la saison à venir commence ce soir!
468,"
2. "
469,هل تكتبون العربي والفرنسي ك
470,"

1. "
471,"Ana 3ayez télécharger l'application wa ma3andich chwiya, mais je ne comprends pas bien le français أنا أريد تحميل التطبيق و معندش شوية لكن لا يفهم الفرنسي"
472,"

2. "
473,Je veux apprendre à parler arabe pour p
474,"

1. “Mabrouk! Je suis si heureuse que tu aies réussi ton examen, تهانينا لك !” 
2. "
475,C'est tellement cool quand on peut التحدث مع المستويات les deux langues - anglais et français!
476," 
3. “Let's نبدأ this amazing journey of learning both English and French together!"
477,"

1. "
478,"J'adore le shawarma, c'est tellement delicious!"
479, 
480,"I love shawarma, it's so yummy!"
481," أنا أحب الشاورمة لكيف يطعم!

2. "
482,Tu veux aller à la plage?
483, 
484,Do you want to go to the beach?
485, هل تريد الذهاب إلى الشاطئ؟
486,"

1. "
487,"Baraka l-lāhu fīk, tu es tellement intelligente! Et je sais que tu peux réussir cet examen."
488," 
2. "
489,"Ya Allah, s'il te plaît aide-moi à passer ce test!"
490," 
3. "
491,"Oh mon dieu, j'ai vraiment besoin de ton aide pour réussir ceci! Inchallah ça va marcher."
492,
493,"

1. "
494,"أنا بحب الموسيقى الرومانسية francaise, خاصة الشعبي والروك!"
495," 

2. "
496,Je adore le mélange de l'anglais et du arabe dans les chansons - c'est tellement cool!
497," 

3. "
498,Mon préféré est la musique arabo-américaine qui combine les sons
499,"

1. "
500,"Oui, je veux apprendre à parler l'arabe! بالطبع، أريد أن اتعلم اللغة العربية!"
501,"

2. "
502,Je peux comprendre un peu d'arabe et de français maintenant يمكنني فهم قليلا من اللغتان العربية و
503,"

1. "
504,"You know what, je sais que c'est difficile ، لكن نحن يمكن أن نتغلب عليها!"
505,"

2. "
506,I'm feeling so overwhelmed right now والوقت الذي اردت معه فات مسرور.
507,"

3. "
508,"It's ok to take a break from everything, c'est normal de prendre une"
509,"

1. "
510,"إنا نعرف أن المشاركة هي مهمة للتوسع, alors nous devons travailler ensemble pour atteindre nos objectifs!"
511,"

2. "
512,"Nous pouvons apprendre beaucoup des cultures différentes, وبالتالي يمكننا تطوير الاستدامة."
513,"

"
514,"

1. "
515,Je suis tellement excité de pouvoir apprendre le العربية! أنا يمكن أن نتحدث مع الآخرين به!
516," 

2. "
517,I can't believe I'm actually learning how to read and write in French and Arabic! C'est incroyable.
518," 

3. "
519,"This is so cool, now I can communicate with people from all over the world in English"
520,"

1. "
521,"Je veux aller au Maroc cet été, inshallah!"
522," 
2. "
523,Mabrook! You passed your exam with flying colours
524," 
3. "
525,Sawfa barda an ajrih 3alihom wa ma kanou yamoot fi al-madiya.
526,
527,"

1. "
528,I'm going to the magasin for some groceries; أنا ذاهب الى المحل لشراء بعض المواد الغذائية
529,"

2. "
530,"Je suis fatigué, so I think I'm gonna take a nap; أنا متعب فلست قد يكون من الصعب علي والس"
531,"

1. "
532,"Je veux un sandwich au falafel, s'il te plait!"
533," لأريد شطيرة فلافل ، من فضلك!
2. "
534,Tu parles arabe et français? C'est incroyable!
535," هل تتحدث العربية والفرنسية ؟ انها مدهشة!
"
536,"

1. "
537,"Je veux apprendre l'arabe, mais c'est difficile! أنا أريد تعلم اللغة العربية ولكن هذا يبدو مهم 

2. Mon ami parle français et arabe, alors je pense que je peux essayer d’apprendre les deux langues مواعيدي يت"
538,"

1. "
539,"Ich bin so glücklich, أنا سعيد لحد الآن! I'm so happy right now!"
540," 
2. "
541,"Je vais à la boulangerie pour acheter du pain et des gâteaux, وسوف أذهب الى متجر الخبز لاشتري قميمة وكعك! I'm going to the bakery to"
542,"

1. "
543,"Ana télécharger w had l'application li bghit fih French-Arabic, c'est incroyable!"
544," 
2. "
545,Je veux apprendre lughat al-3arabiyya bi kteer English and French.
546," 
3. "
547,I'm so excited to be able to communicate with my friends in both Arabic and French!
548,
549,"

1. "
550,"I was born in Morocco, so I can speak العربية and français as well as English."
551,"

2. "
552,What a beautiful day! J'adore le soleil et أنا محبوبه!
553," 

3. "
554,My parents taught me to value both العربية and French culture - it's been an incredible journey learning both languages.
555,
556,"

1. "
557,مرحبا بك في الولايات المتحدة! Je suis heureux de vous rencontrer ici aux États-Unis.
558,"
2. "
559,هل لديك أسئلة؟ Avez-vous des questions?
560,"
3. "
561,"نعم ماذا عن هذا الموضوع? Oui, qu'en est-"
562,"

1. "
563,أنا مش عارفة لماذا يكون السياسيون يتعاملون مع بعضهم بالطريقة اللي هو
564," said Marie, as she watched the news in Arabic and French.

2. "
565,"I don't understand why they have to use such harsh words,"
566," David sighed, switching between English and French while talking about politics with"
567,"

1. "
568,"Ibn sinaa, j'ai besoin de ton aide pour comprendre cet article en anglais!"
569," 
2. "
570,Lah yjibou lkalam ma3a les mathématiques? C'est trop compliqué!
571," 
3. "
572,Ahlan wa sahlan bikom! Je veux apprendre le français et l'arabe.
573,
574,"

1. "
575,"أنا متعب من المدرسة, j'ai trop de devoirs!"
576," 
2. "
577,"Je vais aller au magasin pour acheter des fruits et légumes, سوف أذهب الي السوبر ماركت لشراء الفواكه والخضروات."
578,"
3. "
579,J'adore les films en angla
580,"

1. "
581,وأنا يقول لهم إني معربة! Je leur ai dit que je parlais arabe!
582,"
2. "
583,Il est temps de vérifier mes messages WhatsApp الواتس اب maintenant
584,"
3. "
585,"Je ne veux pas aller à l'école demain, رغم الامتحان الكبير c'est trop difficile"
586,"

1. "
587,"Ahlan wa sahlan, salut! I'm so excited to be here in Tunis and experience the culture mashup of Arabic and French."
588," 

2. "
589,Aujourd'hui on va faire du shopping - نحن اليوم سنذهب للتسوق!
590," 

3. "
591,It's amazing how different cultures can come together in one place - ممتعة كيف يمكن أن
592,"

1. "
593,"I'm going to the مطعم for dinner tonight, do you want me to bring you something back? J'aimerais prendre un sandwich au poulet."
594,"

2. "
595,"My كلب is so cute, he loves chasing after the birds in our garden. Mon petit chien est trop mignon!"
596,"

3. "
597,Let's head over to the سوبر ماركت and get some groceries for dinner tonight. On va aller faire des courses chez
598,"

1. "
599,I'm going to the فرنسا store for some شوكولاتة and then I'm gonna head over to the الإنجليزية mall!
600,"
2. "
601,"J'adore le mélange de la langue arabe et française, c'est tellement cool!"
602," 
3. "
603,Let's meet up at the café after school - it's a great place to hang out and practice our العربية skills!
604,
605,"

1. "
606,"Bonjour, اهلا بكم في مصر! Welcome to Egypt!"
607,"
2. "
608,"Je vais au cinéma ce soir, وسنتعرف على الأفلام العربية let's check out some Arabic movies"
609,"
3. "
610,"I'm so excited for the summer holidays, استمتعوا بالإستجمام ه"
611,"

1. "
612,"I'm gonna go to the souq tomorrow insha'Allah and buy some jalabiyas, des robes super chouettes!"
613,"

2. "
614,My friend said that she saw a mashghool تمشيغول in the masjid yesterday.
615," 

3. "
616,Let's have dinner at my house tonight - I'll make some shawarma et du couscous for everyone.
617,
618,"

1. "
619,"سأذهب لي متجر الملابس في باريس ووقع عند المتجر! شكرا لك, mon ami."
620,"

2. "
621,I'm going to the mall in Paris and shop till I drop! Merci beaucoup!
622,"

3. "
623,اليوم سأذهب لبناء مدين
624,"

1. "
625,"مرحبا بك في العالم! Bonjour, bienvenue dans le monde!"
626," 
2. "
627,"هل تتحدث العربية والفرنسية والانجليزية؟ Do you speak Arabic, French and English?"
628," 
3. "
629,واجهت مشكلة في كتاب العمل
630,"

1. "
631,Je suis tellement excitée de voir ma famille بعد هذه الفترة الطويلة!
632," 
2. "
633,"I'm going to the mall and get some new clothes, وسوف أبحث عن شيء مميز لانها إستمتع!"
634,"
3. "
635,Voulez-vous venir avec moi? نسو
636,"

1. "
637,"Yallah, let's go grab some falafel! خلينا نجيب الفلافل!"
638," 
2. "
639,Je suis excité pour aller à la fête ce soir - أنا متحمس للذهاب الى العشاء هذا المساء
640," 
3. "
641,I can't wait to see what my friends have been up to - 
642,"

1. "
643,"La nourriture est tellement délicieuse, ya3ni shwaya! Je l'adore"
644," 
2. "
645,"I'm so excited to try this new restaurant in town, walahi it looks amazing!"
646," 
3. "
